store_name,local_user,zenkoku_user,rate
松竹園,2,3,0.6666666666666666
へいちきん,3,4,0.75
ロケットカレー 函館本町店,2,3,0.6666666666666666
うに むらかみ 函館本店,18,767,0.02346805736636245
まゆみ寿し,0,0,0
トロイカ 港店,3,7,0.42857142857142855
板前料理 旬,4,8,0.5
ヴィクトリアステーション 函館若松店,6,4,1.5
tombolo,4,39,0.10256410256410256
たこ焼き&たい焼き たこ丸,0,0,0
すしの鮮昇 函館朝市店,1,45,0.022222222222222223
あぶや,0,16,0
吉野家 函館神山店,6,5,1.2
評判いいよ〜,6,13,0.46153846153846156
ラ・ブヴェット,2,11,0.18181818181818182
カフェ　咲くら,6,2,3.0
スープカレー ベギラマ,8,19,0.42105263157894735
中和廊,10,15,0.6666666666666666
パティスリーばら苑,6,8,0.75
山徳食品,1,8,0.125
ラーメン 津つ井軒,2,18,0.1111111111111111
ユーヨーテラス ハコダテ,1,5,0.2
キングベークナチュラル 函館駅前ビル店,1,9,0.1111111111111111
はこだてビール,5,181,0.027624309392265192
ジェファン,2,4,0.5
函館おたふく堂,7,42,0.16666666666666666
ちゃんぽん長崎家,11,24,0.4583333333333333
しん善,2,7,0.2857142857142857
○串酒場,2,12,0.16666666666666666
gyogyo,6,8,0.75
ラッキーピエロ 人見店,13,71,0.18309859154929578
鮨 たかん,1,7,0.14285714285714285
陣屋 昭和店,6,15,0.4
ピッツェリア アモリーノ,17,32,0.53125
モストゥリー,17,23,0.7391304347826086
カシメ水産 朝市営業所,0,6,0
新京,3,4,0.75
平成館 海羊亭,0,18,0
花丸,2,9,0.2222222222222222
函館ふうげつどう,2,9,0.2222222222222222
道の駅 なとわ･えさん,4,28,0.14285714285714285
ラーメンたつみ 大門横丁店,1,41,0.024390243902439025
ラーメン響 乃木店,4,13,0.3076923076923077
コーヒーマルシェ,7,37,0.1891891891891892
函館洋菓子スナッフルス 函館エキナカ店,2,44,0.045454545454545456
金家,3,11,0.2727272727272727
カフェ 駒ヶ岳牛乳,1,7,0.14285714285714285
レストラン・バスク,8,88,0.09090909090909091
ひでちゃん鮨,1,9,0.1111111111111111
高砂屋 空港売店,1,4,0.25
らーめん しおいち,0,8,0
亜細亜飯 松風グルカ,7,7,1.0
龍門,4,8,0.5
ロッテリア MEGAドン･キホーテ函館店,4,3,1.3333333333333333
ダイニング こまつ,0,0,0
海花里,0,6,0
ラッキーピエロ マリーナ末広店,4,371,0.01078167115902965
さかえ寿司 中道支店,2,4,0.5
マックスバリュ 石川店,3,3,1.0
あかちょうちん 湯川店,6,19,0.3157894736842105
odeon,7,3,2.3333333333333335
タリーズコーヒー 函館五稜郭病院店,7,2,3.5
千成堂,0,5,0
ル アーヴル,0,0,0
串カツ田中 函館五稜郭店,6,15,0.4
花鳥風月,3,8,0.375
和のふ,5,16,0.3125
尾木カリー,5,26,0.19230769230769232
成吉思汗物語 らむ若,3,9,0.3333333333333333
タイガーカレー 函館店,2,11,0.18181818181818182
やきだんご 銀月,18,142,0.1267605633802817
金八鮨,0,0,0
山内農場 函館五稜郭店,5,4,1.25
クレイトンズカフェ,0,0,0
裏横丁,0,9,0
サンヴァリエ 函館店,2,9,0.2222222222222222
コメダ珈琲店  函館ベイエリア店,0,0,0
ぱんだ,10,47,0.2127659574468085
そば切り工房しら川,3,12,0.25
ザ ランプス,2,6,0.3333333333333333
五稜郭 御膳水,3,5,0.6
さとほろ,0,5,0
はこだて海鮮倶楽部,0,7,0
さかえ寿し 亀田店,1,3,0.3333333333333333
函館朝市マルヤマ商店,2,21,0.09523809523809523
のらいぬCafe,2,6,0.3333333333333333
びっくりドンキー 海岸通り店,16,31,0.5161290322580645
Lela,2,4,0.5
わたなべ,2,15,0.13333333333333333
まるしん,1,3,0.3333333333333333
グラシエ セ・シュウェット！,7,17,0.4117647058823529
そば処 大阪屋 桔梗店,7,18,0.3888888888888889
ラーメンの王道 北浜商店 金堀店,11,41,0.2682926829268293
沙羅の月,1,15,0.06666666666666667
きんぎょ茶屋,10,16,0.625
李太白,15,12,1.25
びっくりドンキー 神山店,16,11,1.4545454545454546
ステーキ・ハンバーグ ひげ 函館五稜郭店,12,30,0.4
誘い誘われ,1,10,0.1
函館自由市場,2,47,0.0425531914893617
ラ ステラ,4,3,1.3333333333333333
かもめ,3,85,0.03529411764705882
河畔亭,1,10,0.1
割烹あべ,2,8,0.25
紀もと,4,7,0.5714285714285714
天ぷら 天八,3,20,0.15
ツインフェザー 本町店,2,6,0.3333333333333333
おんじき庭本 函館駅前店,1,9,0.1111111111111111
根崎やたら家,10,9,1.1111111111111112
松ふみ,6,5,1.2
田ざわ,7,100,0.07
酒肴菜友 じょっぱり,7,11,0.6363636363636364
ジンギスカン 大門ひつじ亭,0,0,0
紅茶専門店ハーヴェスト 函館駅前店,2,12,0.16666666666666666
ごま福堂 函館店,0,7,0
函館ふるさと 男爵コロッケ工房,1,18,0.05555555555555555
ホテルWBF グランデ函館,0,17,0
らーめん高橋屋,13,60,0.21666666666666667
花かるた,0,0,0
菊川,3,4,0.75
カフェ 美鈴 函館空港店,3,64,0.046875
ハセガワストア 高砂通り店,5,20,0.25
花吹雪,1,2,0.5
麺厨房あじさい 紅店,15,352,0.04261363636363636
みなと食堂,10,43,0.23255813953488372
サザン食堂,8,18,0.4444444444444444
ミートハウス 本町店,3,15,0.2
冨士冷菓,3,22,0.13636363636363635
満腹食堂,7,22,0.3181818181818182
たこ焼き 菜々,2,5,0.4
佐々木豆腐店,1,10,0.1
茶楽居,4,3,1.3333333333333333
キングストア 堀川店,0,0,0
アーイ・カレー・虹夢吟鮮工房,9,7,1.2857142857142858
ハセガワストア 桔梗店,1,9,0.1111111111111111
気っ風握りよいしょ,10,16,0.625
五稜郭タワー展望１階カフェスタンド,2,43,0.046511627906976744
ラ・ターチ,9,10,0.9
かとらん,2,2,1.0
一口茶屋 コープさっぽろ湯川店,4,2,2.0
手打ちそば 長月,10,31,0.3225806451612903
キャプテン,13,25,0.52
ビビンバ小屋,7,10,0.7
サテンドール喫茶店,2,5,0.4
Grazie・Grazie,3,1,3.0
函まるずし 昭和店,2,7,0.2857142857142857
さかえ寿し 高砂通支店,4,18,0.2222222222222222
市場亭,0,60,0
バーハナビ,2,10,0.2
そば処かさ屋,6,8,0.75
ごはん処 かつ庵 函館若松店,5,7,0.7142857142857143
マルイシ食堂,0,7,0
お好み焼き こて屋,3,4,0.75
かね久山田,16,63,0.25396825396825395
マクドナルド 函館松風店,6,23,0.2608695652173913
グルマンカンタ,16,29,0.5517241379310345
エスポワール 戸倉店,12,18,0.6666666666666666
惣菜・揚げ物お持ち帰りと食堂マルテン,4,3,1.3333333333333333
やきとり鳥 本町店,2,6,0.3333333333333333
とり辰,6,15,0.4
回転寿司根室花まる キラリス函館店,7,131,0.05343511450381679
焼肉番長 花園店,4,4,1.0
北の番屋,1,38,0.02631578947368421
おそば 海月,4,12,0.3333333333333333
Hakodate Dining 備後屋,8,10,0.8
マリス,4,5,0.8
鮨処森山,1,12,0.08333333333333333
ラビットファーム,0,4,0
Pain屋,6,28,0.21428571428571427
炉ばた　大謀,4,67,0.05970149253731343
ストロベリー,0,0,0
いくら亭,6,143,0.04195804195804196
マリー・カトリーヌ 丸井今井函館店,3,8,0.375
TAKEDA屋,7,4,1.75
麺屋 真打,7,24,0.2916666666666667
魚べい 函館本通店,5,8,0.625
オリエンタルキッチン,5,3,1.6666666666666667
鮨処あうん亭 光,2,4,0.5
Cafe en,6,6,1.0
高田屋ラーメン,0,0,0
よし庵,10,40,0.25
らーめん ひらき家,4,54,0.07407407407407407
SEAちゃん,1,6,0.16666666666666666
炭焼味楽亭,1,5,0.2
カフェ&ダイニング リット,0,0,0
炭火居酒屋 炎 函館美原店,4,2,2.0
あずまそば,4,1,4.0
やきとり酒場 夕焼けハイボール,2,7,0.2857142857142857
BRAN,6,7,0.8571428571428571
マメさん,14,169,0.08284023668639054
張家口,17,18,0.9444444444444444
ジンギスカン テムジン 湯川店,3,26,0.11538461538461539
陣屋 三与右衛門,6,19,0.3157894736842105
鮨一路,0,14,0
函館洋菓子スナッフルス 高丘店,3,27,0.1111111111111111
鮨政,0,5,0
センティール・ラ・セゾン函館山,4,9,0.4444444444444444
喫茶モーリ,3,2,1.5
リベルタ,5,4,1.25
蕎麦ONJIKI,3,7,0.42857142857142855
パンハウス・シアン,2,4,0.5
ミルキッシモ 函館 五稜郭タワー店,2,195,0.010256410256410256
函館健康センター 湯都里　レストラン,2,7,0.2857142857142857
東京庵 本通り店,8,11,0.7272727272727273
函館塩ジンギスカン 名前はまだ無い。,0,0,0
スターバックス・コーヒー 函館ベイサイド店,14,85,0.16470588235294117
クロマグロ専門工房 鮪斗,3,14,0.21428571428571427
RAMAI 函館店,17,32,0.53125
函館麺や 一文字 函館本店,36,309,0.11650485436893204
小樽なると屋 ポールスター函館店,5,12,0.4166666666666667
箱舘バル,3,13,0.23076923076923078
印度カレー 小いけ 本店,18,131,0.13740458015267176
市場カフェ,1,3,0.3333333333333333
くいしんぼう函館,4,21,0.19047619047619047
エンデバー 函館店,11,14,0.7857142857142857
望楼NOGUCHI函館,3,53,0.05660377358490566
久保商店,0,4,0
麺屋翔,8,17,0.47058823529411764
すし雅,2,32,0.0625
麺屋 しくぅはっく,12,12,1.0
なか卯 函館昭和店,13,12,1.0833333333333333
煙が目にしみる,4,5,0.8
函館朝市 どんぶり横丁市場,0,13,0
gram ベイエリア函館店,7,18,0.3888888888888889
STEM,3,3,1.0
ピーベリー,10,35,0.2857142857142857
おれかるかふぇ,4,1,4.0
唐草館,13,47,0.2765957446808511
カフェ/トラットリア and,4,9,0.4444444444444444
コーヒーケーキショップ美鈴 湯川店,2,10,0.2
手打ちうどん そば 上野,5,17,0.29411764705882354
陣屋 湯川店,10,15,0.6666666666666666
幸寿司,3,46,0.06521739130434782
スターバックス・コーヒー 函館蔦屋書店,12,26,0.46153846153846156
ちいさなぱんや,5,3,1.6666666666666667
なかみち食堂,14,48,0.2916666666666667
そば処ふでむら,9,25,0.36
菓々子,3,3,1.0
ちいおり,5,6,0.8333333333333334
炭焼き居酒屋アリーズ,3,9,0.3333333333333333
天丼専門店 FLOUR,3,4,0.75
豚丼ポルコ 函館本店,2,13,0.15384615384615385
いなふね菓子舗,1,3,0.3333333333333333
鮨島うた,5,20,0.25
粉もん屋とん平 函館駅前店,6,7,0.8571428571428571
プティメルヴィーユ 末広店,5,19,0.2631578947368421
Etadokah,10,12,0.8333333333333334
神戸炭火焼肉 BUZZ 函館本店,3,3,1.0
キューブシュー工房 CUーBー,2,10,0.2
山の猿 函館昭和店,13,8,1.625
ハセガワストア 湯の川店,1,73,0.0136986301369863
コーヒーショップ・トレール,7,7,1.0
パティスリー AKIRA,1,5,0.2
アシェットキャプリス,5,4,1.25
うにむらかみ 函館駅前店,2,50,0.04
焼肉冷麺モランボン美原店,2,5,0.4
ラムズイヤー,21,18,1.1666666666666667
マルセン,14,37,0.3783783783783784
湯の川プリンスホテル渚亭,5,52,0.09615384615384616
二本柳旅館,1,6,0.16666666666666666
桜庭,0,7,0
オールド ニュー カフェ,7,14,0.5
Pizza and BIANCHI,14,19,0.7368421052631579
次郎,5,49,0.10204081632653061
ペリーズバー,8,9,0.8888888888888888
炉ばた炉辺人,4,14,0.2857142857142857
丸南 赤川支店,5,8,0.625
辺見旅館,1,4,0.25
元町ぼんぱん,4,31,0.12903225806451613
ラッキーピエロ 五稜郭公園前店,14,460,0.030434782608695653
ローカン,9,5,1.8
中国料理ぎょくらん,6,8,0.75
喫茶処 琲絵炉,3,3,1.0
もんじゃ焼 千景,9,14,0.6428571428571429
ルピナスカフェ,2,4,0.5
パン工場 マックスバリュ若松店,1,4,0.25
餅の北屋,2,8,0.25
ロマンティコ ロマンティカ,18,56,0.32142857142857145
茶房 菊泉,9,77,0.11688311688311688
グラーノエアックア,12,19,0.631578947368421
あじたか,6,34,0.17647058823529413
八方亭,5,4,1.25
ホテル サンシティー函館,1,7,0.14285714285714285
ホテル&スパ センチュリーマリーナ 函館,2,87,0.022988505747126436
ラビスタ函館ベイ,10,400,0.025
テーラードコーヒー 宮前店,1,13,0.07692307692307693
ホタル,3,10,0.3
四季 粋花亭,8,28,0.2857142857142857
海鮮処 函館山,12,358,0.0335195530726257
ラーメン山岡家 函館万代店,7,22,0.3181818181818182
たこ焼き 菜々 富岡店,0,0,0
ミスタードーナツ 函館五稜郭ショップ,6,27,0.2222222222222222
ティーラウンジ レガート,1,14,0.07142857142857142
はこ民食堂,0,33,0
ハンバーグ専門　大賀,16,36,0.4444444444444444
味彩食堂,7,17,0.4117647058823529
ヤマタイチ,3,35,0.08571428571428572
活魚料理 いか清,14,174,0.08045977011494253
カフェディシィ,8,23,0.34782608695652173
浜鮨,1,4,0.25
フェリーチェ,9,4,2.25
酒kure,3,8,0.375
グランフォレスト,1,4,0.25
ピラミッド,0,4,0
モヒート,3,37,0.08108108108108109
ミスタードーナツ 亀田本町ショップ,5,7,0.7142857142857143
函館湯の川 啄木亭,5,28,0.17857142857142858
シゲちゃんすし,11,98,0.11224489795918367
シプル,3,11,0.2727272727272727
やきとり仁平,7,3,2.3333333333333335
creativedish goen,12,13,0.9230769230769231
パティスリーシュウ,2,9,0.2222222222222222
函館洋菓子スナッフルス 駅前店,19,357,0.05322128851540616
てっぱん,7,5,1.4
ポン・デ・アスウカウ,5,8,0.625
大戸屋 函館漁火通り店,11,6,1.8333333333333333
豪ーめん,13,19,0.6842105263157895
麺屋　華月,17,22,0.7727272727272727
石窯ピッツァと和食と酒 そる,5,6,0.8333333333333334
いどはど,0,4,0
函館朝市 味の一番,3,34,0.08823529411764706
ホテルかもめ館,1,6,0.16666666666666666
イタリアン屋台 ピッコロ,0,0,0
ラーメンの幸山,9,13,0.6923076923076923
旬暦 ひだか,4,11,0.36363636363636365
いたくら柳野,2,15,0.13333333333333333
萬福食堂,4,13,0.3076923076923077
ホテル プロモート函館,1,7,0.14285714285714285
どんぶり屋,1,23,0.043478260869565216
柏や,2,19,0.10526315789473684
matsu,3,6,0.5
居酒屋酒道,2,4,0.5
弁財船,10,66,0.15151515151515152
オリーブ,3,5,0.6
渡邉うどん,10,24,0.4166666666666667
竹葉新葉亭,5,26,0.19230769230769232
バスラーメン,3,46,0.06521739130434782
中国料理 桃華,4,4,1.0
花びしホテル,3,27,0.1111111111111111
北海,3,13,0.23076923076923078
クレメント ストリート,4,6,0.6666666666666666
王将寿し,2,17,0.11764705882352941
旬菜旬魚たじま,3,8,0.375
龍鳳 大門横丁店,13,287,0.04529616724738676
パティスリー　プティ メルヴィーユ 本通店,7,52,0.1346153846153846
蕎麦　蕎麦前やまな,4,13,0.3076923076923077
いか清 大門,5,75,0.06666666666666667
ダルタニャンと三銃士,2,4,0.5
マクドナルド 5号線函館昭和店,6,11,0.5454545454545454
ラーメンの高龍,3,10,0.3
かん藤,1,8,0.125
ソンテネール,0,0,0
コーヒールームきくち,18,149,0.12080536912751678
まるかつ水産 柏木店,9,35,0.2571428571428571
らーめん葵,6,13,0.46153846153846156
本格海鮮居酒屋　地元家,0,0,0
東京庵,8,13,0.6153846153846154
笑 函館屋,3,13,0.23076923076923078
四季海鮮 旬花,8,27,0.2962962962962963
てっ平・居酒屋,1,8,0.125
でん助,3,6,0.5
いちばん,1,5,0.2
旬采亭こいさん,8,5,1.6
コンノ,1,3,0.3333333333333333
ラッキーピエロ 昭和店,9,86,0.10465116279069768
ぱんせぼー,1,9,0.1111111111111111
雑魚亭,1,66,0.015151515151515152
代志川,0,0,0
