store_name,store_address,store_genre,store_dinner_price_range,store_lunch_price_range,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,ss1,ss2,ss3,ss4,ss5,ss6,ss7,ss8,ss9,ss10,ss11,ss12,restaurant_local_popular,restaurant_local_cnt,store_review_cnt,sn1,sn2,sn3,sn4,sn5,sn6,sn7,sn8,sn9,sn10,sn11,sn12,local_food_name,img_url,store_homepage,tabelog_url
そば処みのや 田家店,北海道函館市田家町2-13 , そば、ラーメン,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,エビ　,エビ　,エビ　,エビ　,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/132480/320x320_square_132480926.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1021465/
キングストア 堀川店,北海道函館市千代台町2-4 , その他,60000,999,2,2,2,1,1,1,1,1,1,2,2,1,1.0,1.0,1.0,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1,ニシン　,ニシン　,ニシン　,,,,,,,ニシン　,ニシン　,,['ニシン'],https://tblg.k-img.com/restaurant/images/Rvw/113246/320x320_square_113246136.jpg,,
山内農場 函館五稜郭店,北海道函館市本町11-12 キングスランド行啓通 1F, 居酒屋、鳥料理、もつ鍋,"3,999",60000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/143350/320x320_square_143350569.jpg,https://www.monteroza.co.jp/shop.html?shop=859259,https://tabelog.com/hokkaido/A0105/A010501/1046942/
TAKEDA屋,北海道函館市富岡町2-49-24 , 創作料理、ダイニングバー,"3,999","1,999",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,,,エビ　,エビ　,エビ　,エビ　,,,,シシャモ　,シシャモ　,,[],https://tblg.k-img.com/restaurant/images/Rvw/140308/320x320_square_140308482.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1028419/
ハセガワストア 桔梗店,北海道函館市桔梗町1-13-1 , その他,"1,999",999,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,2.0,2.0,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,イカ　,イカ　,イカ　,,,イカ　,イカ　,イカ　,,,タコ　ブリ　,タコ　ブリ　,"['イカ', 'タコ']",https://tblg.k-img.com/restaurant/images/Rvw/152039/320x320_square_152039992.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1023107/
ラーメン なんでや麺,北海道函館市駒場町11-16 , ラーメン,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/129560/320x320_square_129560317.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1061355/
寿蘭,北海道函館市湯川町1-41-9 , 割烹・小料理,60000,"1,999",2,2,2,1,1,1,2,2,2,2,2,2,2.0,2.0,2.0,1,1,1,1.0,2.0,2.0,1.0,1.0,1.0,1,1,1,1,1,1,2,3,3,1,1,1,2,1.5,1,ニシン　マガキ　,ニシン　マガキ　,ニシン　マガキ　,,,,アユ　,サンマ　アユ　,サンマ　アユ　,ニシン　,ニシン　,マガキ　,['ニシン'],https://tblg.k-img.com/restaurant/images/Rvw/111842/320x320_square_111842232.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1051293/
イール　ベーグルズ,北海道函館市美原3-55-16 ノースシティ美原1Ｆ, ベーグル,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/115870/320x320_square_115870660.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1034060/
らーめん高橋屋,北海道函館市大森町33-1 , ラーメン,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,,,,,,,,,,ブリ　,ブリ　,[],https://tblg.k-img.com/restaurant/images/Rvw/151971/320x320_square_151971573.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1004187/
紀もと,北海道函館市昭和3-35-12 , 居酒屋,60000,999,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1.0,1.0,1.0,1.0,1,1,1,1.0,2.0,2.0,1,1,1,1,1,1,1,1,1,2,3,3,2,1.5,1,,,エビ　,エビ　,エビ　,エビ　,,,,クロマグロ　,クロマグロ　タコ　,クロマグロ　タコ　,['タコ'],https://tblg.k-img.com/restaurant/images/Rvw/112104/320x320_square_112104069.jpg,,https://tabelog.com/hokkaido/A0105/A010502/1050782/
エル・アペティー,北海道函館市湯川町3-2-3 , 洋食・欧風料理（その他）、パスタ、ステーキ,60000,"1,999",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,エビ　,エビ　,エビ　,エビ　,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/155755/320x320_square_155755283.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1019776/
マックスバリュ 石川店,北海道函館市石川町226-6 , その他,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/57811/320x320_square_57811339.jpg,http://www.mv-hokkaido.co.jp/,https://tabelog.com/hokkaido/A0105/A010501/1042383/
函館おたふく堂,北海道函館市中道1-22-5 １Ｆ, ケーキ,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/154707/320x320_square_154707147.jpg,http://otafukudo.jp/,https://tabelog.com/hokkaido/A0105/A010501/1023456/
たこ焼き&たい焼き たこ丸,北海道函館市富岡町2-35-21 , たこ焼き、たい焼き・大判焼き,999,999,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,,,,,,,,,サケ　,サケ　,サケ　,,[],https://tblg.k-img.com/restaurant/images/Rvw/162590/320x320_square_162590495.jpg,,
築地銀だこ スーパーアークス港町店,北海道函館市港町1-2-1 , たこ焼き,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2,2,1,1.5,1,,,,,,,,,,,タコ　,タコ　,['タコ'],https://tblg.k-img.com/restaurant/images/Rvw/115744/320x320_square_115744654.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1016740/
レストラン・バスク,北海道函館市松陰町1-4 , スペイン料理,"19,999","2,999",2,2,2,1,1,2,2,2,1,1,1,1,2.5,2.0,2.5,1.0,2.0,2.5,2.0,2.0,1.0,2.0,3,2.5,5,4,2,1,1,1,2,2,3,3,5,5,2,2.5,3,ニシン　イカ　エゾアワビ　,ニシン　イカ　,エビ　ニシン　イカ　,エビ　,マイワシ　エビ　,マイワシ　エビ　イカ　,マイワシ　イカ　,マイワシ　イカ　,マイワシ　,ニシン　クロマグロ　,ニシン　エゾアワビ　ブリ　クロマグロ　,エゾアワビ　ブリ　クロマグロ　,"['マイワシ', 'ニシン', 'イカ']",https://tblg.k-img.com/restaurant/images/Rvw/165112/320x320_square_fbf80b1f169b62d2763692554bc35b93.jpg,http://www.vascu.com/,https://tabelog.com/hokkaido/A0105/A010501/1002152/
すーぷかりーかふぇ　チャーリースパイス,北海道函館市神山2-11-15 , スープカレー,"1,999","1,999",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,,エビ　,エビ　,エビ　,エビ　,,,,,ブリ　,ブリ　,[],https://tblg.k-img.com/restaurant/images/Rvw/109596/320x320_square_109596403.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1013953/
イン バケット,北海道函館市杉並町23-16 , パン,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/158887/320x320_square_158887206.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1060773/
麺屋　華月,北海道函館市桔梗2丁目33-30 , ラーメン、焼きそば、餃子,60000,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/125130/320x320_square_125130990.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1026517/
レディメイド,北海道函館市元町29-10 , 無国籍料理、アジア・エスニック料理（その他）、ダイニングバー,"2,999",60000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/111826/320x320_square_111826374.jpg,http://www.suntory.co.jp/gourmet/shop/0138221177/,https://tabelog.com/hokkaido/A0105/A010501/1001660/
bar−del CLOE,北海道函館市港町1-11-24 , カフェ、サンドイッチ、スイーツ（その他）,999,999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,[],https://tblg.k-img.com/restaurant/images/Rvw/153388/320x320_square_153388442.jpg,http://cloe.co.jp,https://tabelog.com/hokkaido/A0105/A010501/1007758/
四文屋 函館五稜郭店,北海道函館市本町7-14 , 焼きとん、焼鳥,"1,999",999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,2.0,1.0,1.0,1,1,1,1.0,1.0,1,1,1,2,3,2,2,1,1,1,2,2,1,1,2,,,,キュウリウオ　,ベニザケ　キュウリウオ　,ベニザケ　,ベニザケ　,,,,ブリ　,ブリ　,[],https://tblg.k-img.com/restaurant/images/Rvw/146047/320x320_square_146047750.jpg,,https://tabelog.com/hokkaido/A0105/A010501/1049389/
